entry_uuid,legend_bullet_src,entry_date,entry_text,entry_links,scrape_timestamp
82a09cd2-b8de-4bc2-aba0-0f9badc7620e,"['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3518/1522176758/public/bulletorange.png?1522176758', 'https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563']","August 21, 2019","  – August 21, 2019 – The Department of Homeland Security introduced an updated policy that would allow the government to detain migrant families with children indefinitely. The American Psychological Association said, “The large majority of these children have already experienced trauma before arriving at immigration facilities, and the longer they are held in detention, the more likely their mental health will continue to suffer.” Trump, when asked about the policy, replied, “Very much I have the children on my mind. It bothers me very greatly.”",['https://www.npr.org/2019/08/21/753062975/new-trump-policy-would-permit-indefinite-detention-of-migrant-families-children'],2020-11-06 05:56:35.595136
52c9a993-63a5-4e71-920f-bb8316f8586d,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3520/1522176863/public/bulletdarkpurple.png?1522176863'],"March 26, 2018"," – March 26, 2018 – Donald Trump kept in touch with Rob Porter after Porter left the White House amid credible allegations against him of domestic abuse from two of his ex-wives. In the final few weeks of March, Trump’s phone calls with Porter became increasingly frequent, with some speculating Trump would bring Porter back to the White House soon. (March 25, 2018)  ",['https://www.nytimes.com/2018/03/26/us/politics/trump-rob-porter.html'],2020-11-06 05:56:35.595502
26f43475-b118-4c4e-8ad9-f7290316e8cb,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563'],"May 18, 2020"," – May 18, 2020 – Trump confirmed that he was taking hydroxychloroquine, a drug he had long praised even though medical experts warned that it could be dangerous and was not shown to combat Covid-19. “I started taking it, because I think it’s good,” he said. “I’ve heard a lot of good stories.”",['https://www.politico.com/video/2020/05/18/trump-confirms-he-is-currently-taking-hydroxychloroquine-075720'],2020-11-06 05:56:35.595775
b24efc0e-8c77-483d-9b72-cd83887bd408,"['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3519/1522176814/public/bulletpink.png?1522176814', 'https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563']","March 21, 2019","   – March 21, 2019 – In addition to Ivanka Trump using a personal account for government-related emails, a lawyer for her husband, Jared Kushner, said the senior adviser to the president used private communications to discuss official matters. When running for president, Trump said the investigation into Hillary Clinton’s use of a private email server was “bigger than Watergate.” ",['https://www.nytimes.com/2019/03/21/us/politics/jared-kushner-whatsapp.html'],2020-11-06 05:56:35.596096
7f7190e7-809b-4596-b8b1-d99051d93588,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3520/1522176863/public/bulletdarkpurple.png?1522176863'],"June 26, 2020"," – June 26, 2020 – Holding the first briefing of the coronavirus task force in almost two months, Vice President Mike Pence cited “remarkable progress” in its fight against the virus. COVID-19, however, was spreading at a record rate across the country.",['https://www.washingtonpost.com/politics/pence-puts-positive-spin-on-surging-coronavirus-cases-in-south-west/2020/06/26/70a1dfa2-b7c7-11ea-a510-55bf26485c93_story.html'],2020-11-06 05:56:35.596416
68f6a086-1407-4eca-abd6-2bc67446db95,"['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563', 'https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3512/1521729445/original/bulletred.png?1521729445']","November 16, 2017"," – November 16, 2017 – After the public revelation of former senator Al Franken’s sexual assault scandal, wherein Franken was photographed groping a female soldier, Trump tweeted, “The Al Frankenstien [sic] picture is really bad, speaks a thousand words. Where do his hands go in pictures 2, 3, 4, 5 & 6 while she sleeps? …..” Trump has been accused by several women of sexual misconduct and assault. ","['https://twitter.com/realdonaldtrump/status/931357870024687616?lang=en', 'http://time.com/5058646/donald-trump-accusers/']",2020-11-06 05:56:35.596775
19c6b126-78d5-4aa9-984b-cdf9efcf0ad4,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3518/1522176758/public/bulletorange.png?1522176758'],"August 21, 2017"," – August 21, 2017 – Eight months into his presidency, the Secret Service exhausted the annual funding allocated to agents to protect the Trump family, mostly due to the frequency of the first family’s travels. By August 2017, more than 1,000 agents had already hit the federally mandated cap for salary and overtime allowances meant to last the entire year. ",['https://www.cnn.com/2017/08/21/politics/secret-service-donald-trump-family/index.html'],2020-11-06 05:56:35.597053
3d124ec9-d746-4fe1-8514-a0d4f45dc698,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3520/1522176863/public/bulletdarkpurple.png?1522176863'],"May 9, 2017"," – May 9, 2017 – Dan Heyman, a West Virginian journalist, was arrested after questioning Department of Health and Human Services Secretary Tom Price about how the proposed health care bill would affect victims of domestic violence. In the aftermath of the healthcare bill’s introduction, Secretary Price had barred press access whenever questions about health care might be raised. On the day in question, Heyman approached Price while the secretary walked toward the capital in the morning. After the reporter held out his phone to record Price, Heyman was arrested for “breaching Secret Service agents.” Heyman spent seven hours in jail before he was released with a charge of willful disruption of governmental processes. Almost three months later, a state prosecutor found Heyman had broken no laws and would not be prosecuted for his actions. ","['http://www.wsaz.com/content/news/Journalist-arrested-at-WVa-Capitol-during-visit-from-Conway-and-Price-421818203.html', 'https://www.washingtonpost.com/posteverything/wp/2017/05/16/i-was-arrested-for-asking-tom-price-a-question-i-was-just-doing-my-job/?utm_term=.ccdf09f13084']",2020-11-06 05:56:35.597400
c88afaa3-7428-4520-8ea0-88eb32d722f3,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3519/1522176814/public/bulletpink.png?1522176814'],"March 22, 2017"," – March 22, 2017 – Rep. Devin Nunes, chair of the House Intelligence Committee, publicly suggested Donald Trump and his associates were swept up in “incidental collection” of foreign surveillance"" by American intelligence agencies. The night before his revelation on foreign surveillance, Nunes paid a visit to the White House. According to three committee officials, Nunes had been sharing a car with a senior committee staffer when he received a phone call and switched cars without explanation. Rep. Nunes was then seen entering the White House grounds (though the White House later claimed they were unaware of his presence). The next day Rep. Nunes held his press conference to announce the incidental surveillance on Trump. Another ranking member of the House Intelligence Committee, Rep. Adam Schiff, said Nunes would need to “decide if he’s the chairman of an independent investigation… or if he can act as a surrogate for the White House.”","['http://www.nydailynews.com/news/politics/devin-nunes-incidental-collection-trump-transition-article-1.3005685', 'https://www.cnn.com/2017/03/27/politics/devin-nunes-white-house-donald-trump/index.html', 'https://www.washingtonpost.com/blogs/right-turn/wp/2017/03/23/nunes-shows-why-hes-incapable-of-running-an-investigation/']",2020-11-06 05:56:35.597765
35f4ab6c-25c0-4c9e-ae9f-61a89342e662,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563'],"June 1, 2020"," – June 1, 2020 – After spending time in a White House bunker, Trump arranged a photo-op for himself in front of nearby St. John’s church, holding up a Bible as a prop. “Is that your Bible?” a reporter asked him. “It’s a Bible,” Trump replied. Protesters in the area were sprayed with tear gas so that Trump and an entourage could walk unencumbered to the church. ",['https://www.nytimes.com/2020/06/01/us/politics/trump-st-johns-church-bible.html'],2020-11-06 05:56:35.598075
