entry_uuid,categories,entry_date,entry_date_dt,entry_text_split,scrape_timestamp
6824aa68-4728-4dc3-b973-4811fee404fd,['Trump Staff & Administration'],"May 6, 2017",2017-05-06 00:00:00,"Nicole Kushner Meyer, the sister of White House adviser and Trump’s son-in-law Jared Kushner, solicited investments from Chinese business owners by promising American visas in return. An ad for her event in China read, “Invest $500,000 and immigrate to the United States.”",2020-11-05 02:35:36.660537
fed22f05-92ac-4c0b-996d-8ec000ef1378,['Policy'],"March 7, 2017",2017-03-07 00:00:00,"In order to fund Donald Trump’s proposed border wall with Mexico, the Trump administration considered cutting budget from airport security and the Coast Guard.",2020-11-05 02:35:36.660785
68ec74f5-96fb-46fe-bf28-fbb36debdc02,['Public Statements / Tweets'],"June 13, 2017",2017-06-13 00:00:00,"On Twitter, Donald Trump’s account blocked a veterans group that had been critical of him. The group, VoteVets, represents 500,000 U.S. military veterans.",2020-11-05 02:35:36.661040
6ebaf1e5-1f02-4ad2-9724-6c7e5cd51343,['Public Statements / Tweets'],"January 11, 2018",2018-01-11 00:00:00,"According to an account of an immigration meeting with members of Congress, Donald Trump allegedly referred to Haiti, El Salvador, and nations in Africa as “shithole countries.” In regard to the 60,000 Haitian immigrants sheltered in America following the 2010 earthquake in Haiti, Trump purportedly said, “Why do we want people from Haiti here?” Trump followed this saying that the U.S. should admit more people from places like Norway, and that he would accept more Asian immigrants because he believed them to be beneficial to the economy.",2020-11-05 02:35:36.661293
762f3206-171f-4cb0-8400-5cc5445a697d,['Trump Staff & Administration'],"May 19, 2017",2017-05-19 00:00:00,"Four months after his inauguration, almost 700 positions still remained empty at the Center for Disease Control. The vacancies appeared at every level—from administrative roles to scientific advisers to director-level positions.",2020-11-05 02:35:36.661542
262368a7-4612-4643-a683-d5d51d049ceb,['Trump Staff & Administration'],"July 5, 2018",2018-07-05 00:00:00,"Donald Trump appointed Andrew Wheeler as Deputy Administrator of the EPA, a lobbyist and critic of nationwide limits on greenhouse gas emissions who’s supported the continued use of fossil fuels. In March 2018, Wheeler commented to CNN that the EPA is “brainwashing our kids.”",2020-11-05 02:35:36.661938
4ae237e9-82ca-4382-9b4b-ff44d623f3b0,"['Sexual Misconduct, Harassment, & Bullying', 'Public Statements / Tweets', 'Policy']","June 10, 2020",2020-06-10 00:00:00,"Amid renewed calls to rename Army bases honoring Confederate leaders, the Pentagon said it was “open to a bipartisan discussion on the topic.” Trump put an end to any discussion, tweeting, “my Administration will not even consider the renaming of these Magnificent and Fabled Military Installations.”",2020-11-05 02:35:36.662278
d3900599-e84c-477a-94a9-8d648fe60bc9,"['Policy', 'White Supremacy, Racism, Homophobia, Transphobia, & Xenophobia']","October 29, 2018",2018-10-29 00:00:00,"The United States Government planned to send 5200 troops to the US-Mexico border to guard against what Trump called, “an invasion of our country” by a caravan of 3500 Central American migrants, many of whom were children.",2020-11-05 02:35:36.662575
1a192e04-77af-4a00-85b3-b780cba22461,['Public Statements / Tweets'],"May 31, 2017",2017-05-31 00:00:00,"Donald Trump tweeted, “Despite the negative press covfefe.” He offered no follow-up and never explained the incomplete thought or potential misspelling.",2020-11-05 02:35:36.662823
d27ae63c-000c-44d4-b0e0-3825f1b2e588,"['Policy', 'Public Statements / Tweets', 'White Supremacy, Racism, Homophobia, Transphobia, & Xenophobia']","July 29, 2020",2020-07-29 00:00:00,"In praising his administration’s recent decision to revoke an Obama-era fair-housing rule, Trump wrote on Twitter, “I am happy to inform all of the people living their Suburban Lifestyle Dream that you will no longer be bothered or financially hurt by having low-income housing built in your neighborhood… Your housing prices will go up based on the market, and crime will go down. I have rescinded the Obama-Biden AFFH Rule. Enjoy!”",2020-11-05 02:35:36.663201
